Code,Name,Zone,Latitude,Longitude,Distance
ARCO2,ARCO,mai/01,41.21385612,-8.601432706,6.821524562
SRSD2,S.RA DA SAÚDE,mai/01,41.2159821,-8.614298157,6.823296815
SP2,S. PEDRO,MTS1,41.18562617,-8.695972246,6.826346103
C62,CAIS 6,MTS2,41.19361468,-8.688771076,6.827905423
SAM2,SÁ DE MIRANDA,GDM1,41.17377982,-8.547367734,6.833342948
SRSD1,S.RA DA SAÚDE,mai/01,41.21607396,-8.614149131,6.83509077
SAM1,SÁ DE MIRANDA,GDM1,41.17387912,-8.547296863,6.842342159
RTES1,RIO TINTO (ESC. SEC.),mai/04,41.17688703,-8.548684685,6.842405762
LION1,LIONESA,mai/01,41.21675295,-8.623596634,6.849407478
SP4,S.PEDRO,MTS1,41.1862308,-8.695964649,6.859379672
C61,CAIS 6,MTS2,41.19377013,-8.689119215,6.861444525
AGR2,AGRA,mai/04,41.21247971,-8.594523719,6.8694897
CORI1,CORISCOS,mai/04,41.20251817,-8.572286781,6.87806123
GUFE2,GUEIFÃES (ESC.EB2/3),mai/01,41.21431959,-8.60038673,6.896651316
AGR1,AGRA,mai/04,41.21273378,-8.594442585,6.89823293
VDES,VILA D'' ESTE (ESCOLAS),VNG2,41.09846418,-8.59135584,6.911669938
REAR1,R. ESTAÇÃO ARAÚJO,mai/01,41.21688971,-8.635700728,6.919763632
REAR2,R. ESTAÇÃO ARAÚJO,mai/01,41.21690313,-8.635861257,6.922967864
CDFT1,CEDOFEITA,VNG4,41.09378313,-8.639107595,6.924670213
GUFE1,GUEIFÃES (ESC.EB2/3),mai/01,41.21451278,-8.600055843,6.925492006
DAC1,DR. AMÉRICO COSTA,GDM1,41.16528132,-8.543514411,6.927276598
QSTG2,QUINTA DE SANTIAGO,MTS2,41.19119309,-8.692706643,6.928731653
TLN2,TV. DE LINHARES,mai/01,41.21394168,-8.652728954,6.930693509
CDFT2,CEDOFEITA,VNG4,41.09368962,-8.638887366,6.931836678
QSTG1,QUINTA DE SANTIAGO,MTS2,41.19170021,-8.692281228,6.932584721
DAC2,DR. AMÉRICO COSTA,GDM1,41.16538406,-8.543454279,6.934101292
MIM1,MIMOSAS,VNG2,41.09894126,-8.58917477,6.94067527
FNZ1,FÂNZERES (METRO),GDM1,41.16848789,-8.544146588,6.942148643
TLN1,TV. DE LINHARES,mai/01,41.21405879,-8.65271796,6.942668169
FNZ2,FÂNZERES (METRO),GDM1,41.1686199,-8.54405578,6.952712557
RMOS1,R. DO MOSTEIRO,mai/04,41.20799504,-8.580656941,6.955660799
AEP,ASSOC. EMP. PORTUGAL,MTS2,41.19491524,-8.689387719,6.95912179
AEP1,ASSOC. EMP. PORTUGAL,MTS2,41.19484679,-8.689502048,6.961691267
VDN4,VENDA NOVA,GDM1,41.17437022,-8.545941483,6.9670324
CORI2,CORISCOS,mai/04,41.20325818,-8.571660485,6.974772877
VDN1,VENDA NOVA,GDM1,41.17432029,-8.54580356,6.976328519
MIM2,MIMOSAS,VNG2,41.09872672,-8.588780489,6.976535465
BCH1,BICHEIROS,VNG4,41.09357004,-8.642871388,7.007914273
BCH2,BICHEIROS,VNG4,41.09343051,-8.642716813,7.02035602
AGR3,ROT.AGRA,mai/04,41.21408991,-8.594840568,7.026281201
AGR4,ROT.AGRA,mai/04,41.21406518,-8.594611856,7.030654837
GATS2,GATÕES,MTS1,41.21087794,-8.665056996,7.037189623
PMV2,PONTE MOVEL,MTS2,41.18977776,-8.695673672,7.045666561
FNZ3,FÂNZERES (METRO),GDM1,41.16872603,-8.542936605,7.046747081
RMOS2,R. DO MOSTEIRO,mai/04,41.20876433,-8.579971139,7.058626148
RBHR1,R.BOA HORA,MTS1,41.21195308,-8.662904391,7.060240758
GATS1,GATÕES,MTS1,41.21102089,-8.665296619,7.06070122
RBHR2,R.BOA HORA,MTS1,41.21195058,-8.663025645,7.0645374
CV1,CARVALHA,GDM1,41.16464302,-8.54168626,7.06743682
PMV1,PONTE MOVEL,MTS2,41.1898849,-8.695910181,7.06875165
CV2,CARVALHA,GDM1,41.16467989,-8.541448194,7.087753378
AAX2,ANTONIO ALEIXO,mai/01,41.21847673,-8.614129568,7.100127855
BELA1,BELA,VNG4,41.09366267,-8.647990672,7.1011061
UVDE1,URB. VILA D ESTE,VNG2,41.09761165,-8.588415684,7.101479539
FTV2,FONTE VILA,MTS2,41.18855588,-8.697530802,7.104480028
AAX1,ANTONIO ALEIXO,mai/01,41.21851864,-8.613938998,7.106838662
BELA2,BELA,VNG4,41.09354915,-8.647977783,7.112973935
FTV1,FONTE VILA,MTS2,41.1887262,-8.697681693,7.125144826
PMEL2,PEREIRA MELO,VNG4,41.09464009,-8.65373161,7.142894001
MTD1,MATADOURO,mai/04,41.21583747,-8.596879973,7.149515794
PMEL1,PEREIRA MELO,VNG4,41.09454831,-8.653881473,7.15672036
VDE,VILA D ESTE,VNG2,41.09629771,-8.590513309,7.160437911
CABN1,CABANAS,GDM1,41.16791255,-8.541310839,7.16134501
FSCA2,FRESCA,MTS2,41.18737755,-8.699301911,7.164942423
FLO2,FLORES,mai/01,41.21668875,-8.599704974,7.165085941
PCUA2,PÍCUA,mai/04,41.20440517,-8.569863261,7.169174206
UVDE3,URB. VILA D''ESTE,VNG2,41.09698222,-8.588197081,7.172508902
CABN2,CABANAS,GDM1,41.16799304,-8.541196261,7.172517471
RCD1,ROÇADAS,VNG4,41.09399583,-8.652441845,7.175309495
UVDE2,URB. VILA D''ESTE,VNG2,41.09700949,-8.587951364,7.178685668
CB4,CARVALHA DE BAIXO,GDM1,41.16477561,-8.540330997,7.181817228
FSCA1,FRESCA,MTS2,41.18751713,-8.699469285,7.184831655
MTD2,MATADOURO,mai/04,41.21619738,-8.596942142,7.185577694
FRR1,FERRARIA,GDM1,41.17645562,-8.544105544,7.186390491
CB3,CARVALHA DE BAIXO,GDM1,41.16466707,-8.540118954,7.197595925
VDTM2,ESPOSADE (METRO),MTS1,41.21547359,-8.656425604,7.198110822
FLO1,FLORES,mai/01,41.21695468,-8.599487468,7.198734484
RPPC2,R. PADRE PORTO CARRERO,MTS1,41.21243452,-8.665296178,7.199322407
ARJ2,ARAÚJO,mai/01,41.21930142,-8.63712934,7.201472917
ARJ1,ARAÚJO,mai/01,41.21931798,-8.636990992,7.201696316
RCD2,ROÇADAS,VNG4,41.09376275,-8.652511512,7.201737696
FRR2,FERRARIA,GDM1,41.1767691,-8.543935761,7.211331912
RPPC1,R. PADRE PORTO CARRERO,MTS1,41.21246915,-8.665594544,7.214404445
PCUA1,PÍCUA,mai/04,41.20461941,-8.569248857,7.220596866
GUFS2,GUEIFÃES,mai/01,41.21795663,-8.602898514,7.226332257
CB2,CARVALHA DE BAIXO,GDM1,41.16403803,-8.539633173,7.227981166
FLO4,FLORES,mai/01,41.21721957,-8.598795975,7.244265619
CB1,CARVALHA DE BAIXO,GDM1,41.16380154,-8.539324769,7.250042071
VESS2,VESSADA,mai/04,41.21579419,-8.593265746,7.250785669
VDTM1,ESPOSADE (METRO),MTS1,41.21591336,-8.656739141,7.25320281
GUFS1,GUEIFÃES,mai/01,41.21819071,-8.602739619,7.254910805
VDE1,VILA D''ESTE,VNG2,41.0956267,-8.589514832,7.262698684
VESS1,VESSADA,mai/04,41.21587251,-8.593093009,7.264211082
FLO3,FLORES,mai/01,41.21741455,-8.598763258,7.265750215
AST1,ÁGUAS SANTAS,mai/04,41.21006719,-8.577937094,7.272434036
AST2,ÁGUAS SANTAS,mai/04,41.21014035,-8.578060925,7.273641577
IGMI1,IGREJA (MILHEIROS),mai/04,41.21463735,-8.58852481,7.289148377
CTSS2,CATASSOL,mai/01,41.22032085,-8.614178496,7.302973637
EXP1,EXPONOR,MTS2,41.19787107,-8.691464231,7.303427242
EXP2,EXPONOR,MTS2,41.19788358,-8.691603175,7.313169508
CTSS1,CATASSOL,mai/01,41.22041297,-8.614036466,7.314638967
IGMI2,IGREJA (MILHEIROS),mai/04,41.21484872,-8.587882445,7.333184041
PDAM4,PADRE AMÉRICO,mai/01,41.21928983,-8.60436663,7.339561639
PDAM3,PADRE AMÉRICO,mai/01,41.21939969,-8.604660768,7.345641278
CRG1,CORGA,mai/04,41.20967366,-8.575030115,7.371446781
IGRL2,IGREJA DE LEÇA,MTS2,41.19316681,-8.697372744,7.37434883
CRG2,CORGA,mai/04,41.20986351,-8.575137923,7.383691225
PDAM1,PADRE AMÉRICO,mai/01,41.21970702,-8.603941028,7.393109339
PDAM2,PADRE AMÉRICO,mai/01,41.21974289,-8.60408632,7.394071383
NTRT1,NUNO TRISTÃO,VNG4,41.09193879,-8.653540518,7.421465233
NTRT2,NUNO TRISTÃO,VNG4,41.09189299,-8.65336337,7.421554283
TPG2,TV.PINGUELA,MTS2,41.21724265,-8.658559016,7.446844639
TESC1,TV.ESCOLAS,mai/04,41.21671564,-8.58965181,7.461352587
APDL2,APDL,MTS2,41.18784264,-8.70304783,7.463165118
TPG1,TV.PINGUELA,MTS2,41.21741699,-8.658718669,7.469827554
APDL1,APDL,MTS2,41.18807871,-8.702978715,7.470925952
SM4,SÁ E MELO,mai/01,41.22116743,-8.607996038,7.478308299
SM3,SÁ E MELO,mai/01,41.22116812,-8.607829093,7.481079832
TESC2,TV.ESCOLAS,mai/04,41.21683759,-8.58937054,7.483181914
AM1,ALTO DA MAIA,mai/04,41.20647223,-8.567210534,7.488010267
IGRL1,IGREJA DE LEÇA,MTS2,41.19339769,-8.69883566,7.489560084
CRR2,CARREIRA,GDM1,41.17790302,-8.540897597,7.493147377
VARZ2,VÁRZEA,GDM1,41.16281968,-8.53613696,7.501532612
VARZ1,VÁRZEA,GDM1,41.16268183,-8.536110021,7.502058101
CRR1,CARREIRA,GDM1,41.17787049,-8.540689879,7.508302226
MIR2,MIRÃO,MTS2,41.21075111,-8.676277828,7.516595519
MIR1,MIRÃO,MTS2,41.2108883,-8.676312493,7.530790295
PTH2,PONTELHAS,mai/01,41.2221889,-8.638698836,7.538168316
LVDR1,LAVADOUROS,mai/04,41.20890662,-8.570063749,7.547989248
LVDR2,LAVADOUROS,mai/04,41.20912345,-8.570349643,7.552530912
PTH1,PONTELHAS,mai/01,41.22236045,-8.638592833,7.555703309
CBN2,COMBONIANOS,mai/01,41.22282162,-8.615091656,7.570025154
AM4,ALTO DA MAIA,mai/04,41.20689372,-8.566310787,7.572528071
PTLA2,PORTELA,MTS2,41.20996668,-8.67889213,7.572871313
PTLA1,PORTELA,MTS2,41.21008395,-8.678845415,7.58104812
AM3,ALTO DA MAIA,mai/04,41.20662104,-8.565625975,7.58704472
ESBN2,ESC. SEC. BOA NOVA,MTS2,41.19325421,-8.70038481,7.58775435
AM2,ALTO DA MAIA,mai/04,41.20764276,-8.567206369,7.587838112
GODC1,GONDOMAR (CÂMARA),GDM1,41.14363315,-8.535663807,7.602743852
ARRG1,ARREGADAS,mai/04,41.21651502,-8.585020244,7.603998336
ESBN1,ESC. SEC. BOA NOVA,MTS2,41.19312185,-8.700766133,7.606085571
REXP3,ROT. DA EXPONOR,MTS2,41.20104522,-8.692800738,7.620301724
CBN1,COMBONIANOS,mai/01,41.22331742,-8.615088977,7.624839713
PLE2,PRAIA DE LEÇA,MTS2,41.18915916,-8.704342818,7.629426155
LFC2,LEÇA F. CLUBE,MTS2,41.20453635,-8.688479844,7.629917542
RARR2,ARROTEIA,mai/04,41.2190187,-8.591691452,7.632634082
PLE1,PRAIA DE LEÇA,MTS2,41.18931432,-8.704301383,7.634972741
MAVO2,MONTE AVÓ,MTS2,41.21252247,-8.675372168,7.637386958
REXP4,ROT. DA EXPONOR,MTS2,41.20113582,-8.692993493,7.639027576
STO2,S.TA OVAIA,GDM1,41.16185068,-8.534329691,7.640696917
MAVO1,MONTE AVÓ,MTS2,41.21251403,-8.675509616,7.642938096
CSAD1,CENTRO SAÚDE,mai/04,41.21829994,-8.589039185,7.643382019
AVES1,AVESSADA,MTS2,41.20925179,-8.681533039,7.643459571
LFC,LEÇA F.CLUBE,MTS2,41.2046437,-8.688623817,7.646871092
MFP1,M. FERREIRA PINTO,mai/01,41.22204449,-8.603645158,7.651449786
AVES2,AVESSADA,MTS2,41.20926815,-8.681878938,7.66278682
